idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
15,2.508361204013378,2.508361204013378,2.9474201068569745,-2.8832994415452786,1.0,1.0147875253005734,2.221648234720422,0.0,0.0,0.0,0.0,70
16,2.6755852842809364,2.6755852842809364,3.114514309302887,-3.26551213071793,1.0,0.9827767755826293,2.3475972092260746,0.0,0.0,0.0,0.0,70
17,2.842809364548495,2.842809364548495,3.2761079916672182,-3.668449009848313,1.0,0.9490303512608903,2.4694001101194725,0.0,0.0,0.0,0.0,70
18,3.0100334448160533,3.0100334448160533,3.4319157645740876,-4.091398455172603,1.0,0.9136078516392068,2.5868418222218454,0.0,0.0,0.0,0.0,70
19,3.177257525083612,3.177257525083612,3.5816624570983913,-4.53361349888572,1.0,0.8765718361252987,2.699714932616884,0.0,0.0,0.0,0.0,70
20,3.3444816053511706,3.3444816053511706,3.725083602743084,-4.994313148355507,1.0,0.8379877137450468,2.807820096961068,0.0,0.0,0.0,0.0,70
21,3.511705685618729,3.511705685618729,3.86192590651145,-5.472683765427883,1.0,0.7979236276241224,2.9109663915441892,0.0,0.0,0.0,0.0,70
22,3.678929765886288,3.678929765886288,3.9919476922494797,-5.9678805033870095,1.0,0.7564503346409253,3.0089716504782897,0.0,0.0,0.0,0.0,70
23,3.8461538461538463,3.8461538461538463,4.1149193294682815,-6.479028799032663,1.0,0.7136410804633996,3.1016627874194524,0.0,0.0,0.0,0.0,70
24,4.013377926421405,4.013377926421405,4.230623638892757,-7.0052259172396685,1.0,0.669571470190412,3.1888761012542917,0.0,0.0,0.0,0.0,70
25,4.1806020066889635,4.1806020066889635,4.338856276020259,-7.545542545271557,1.0,0.6243193348261677,3.270457565211218,0.0,0.0,0.0,0.0,70
26,4.3478260869565215,4.3478260869565215,4.439426092011876,-8.099024434032717,1.0,0.5779645938234536,3.346263098885952,0.0,0.0,0.0,0.0,70
27,4.51505016722408,4.51505016722408,4.532155471278939,-8.664694083360503,1.0,0.5305891139385027,3.4161588227008544,0.0,0.0,0.0,0.0,70
28,4.682274247491639,4.682274247491639,4.616880645168567,-9.241552468380831,1.0,0.48227656464676155,3.480021294348649,0.0,0.0,0.0,0.0,70
29,4.849498327759197,4.849498327759197,4.693451981194244,-9.828580803878445,1.0,0.4331122703748122,3.537737726802867,0.0,0.0,0.0,0.0,70
30,5.016722408026756,5.016722408026756,4.761734247300611,-10.424742343565736,1.0,0.3831830598096008,3.58920618751024,0.0,0.0,0.0,0.0,70
31,5.183946488294314,5.183946488294314,4.821606850695782,-11.028984211072505,1.0,0.33257711255094147,3.634335778413003,0.0,0.0,0.0,0.0,70
32,5.351170568561873,5.351170568561873,4.872964050829354,-11.640239259422927,1.0,0.28138380337815766,3.673046796483174,0.0,0.0,0.0,0.0,70
33,5.518394648829432,5.518394648829432,4.915715146139982,-12.257427955715709,1.0,0.2296935444060128,3.705270874485588,0.0,0.0,0.0,0.0,70
34,5.68561872909699,5.68561872909699,4.949784634242736,-12.879460287678976,1.0,0.1775976254085372,3.730951101720658,0.0,0.0,0.0,0.0,70
35,5.852842809364549,5.852842809364549,4.975112345273272,-13.50523768873265,1.0,0.12518805259284443,3.750042124533998,0.0,0.0,0.0,0.0,70
36,6.020066889632107,6.020066889632107,4.991653548153386,-14.133654978158573,1.0,0.07255738610767956,3.7625102264151216,0.0,0.0,0.0,0.0,70
37,6.187290969899665,6.187290969899665,4.999379029590222,-14.763602312951754,1.0,0.01979857657364263,3.7683333875439193,0.0,0.0,0.0,0.0,70
38,6.354515050167224,6.354515050167224,4.998275145669655,-15.393967147905705,1.0,-0.03299519907620071,3.7675013236797317,0.0,0.0,0.0,0.0,70
