timestamp,north_m,east_m,down_m,vx_m_s,vy_m_s,vz_m_s
108256.560937886,6.899013996124268,36.59965515136719,-3.835357666015625,-0.02340705133974552,-0.015099448151886463,0.7022196054458618
108256.593329285,6.898534774780273,36.59946823120117,-3.8184814453125,-0.023327970877289772,-0.015571851283311844,0.7023333311080933
108256.629021509,6.897752285003662,36.59910583496094,-3.790435791015625,-0.02407997101545334,-0.01564275287091732,0.7034401893615723
108256.660605692,6.897089958190918,36.59889221191406,-3.767974853515625,-0.02461923286318779,-0.015000944025814533,0.7042937278747559
108256.69911747,6.896398544311523,36.59869384765625,-3.745513916015625,-0.02365287020802498,-0.014973961748182774,0.7054299712181091
108256.736900758,6.895748138427734,36.59855270385742,-3.723052978515625,-0.02262701466679573,-0.015121076256036758,0.7060940861701965
108256.76868389,6.894974231719971,36.598411560058594,-3.69500732421875,-0.021952427923679352,-0.0144530413672328,0.7054816484451294
108256.801020983,6.894527435302734,36.59833526611328,-3.678192138671875,-0.02139838971197605,-0.014811466448009014,0.7051167488098145
108256.836887285,6.893799304962158,36.59828567504883,-3.65020751953125,-0.020915638655424118,-0.014298456721007824,0.7050444483757019
108256.868710538,6.893237113952637,36.5982551574707,-3.627838134765625,-0.020684806630015373,-0.015128162689507008,0.7052351236343384
108256.900977,6.892698764801025,36.59821701049805,-3.60546875,-0.019860219210386276,-0.015674257650971413,0.7049179077148438
108256.936834499,6.892199516296387,36.598140716552734,-3.583160400390625,-0.01980890892446041,-0.015882134437561035,0.7051286697387695
108256.968879663,6.891702175140381,36.5980339050293,-3.56085205078125,-0.019980570301413536,-0.015932990238070488,0.7046481370925903
108257.001528253,6.891238212585449,36.59792709350586,-3.53863525390625,-0.01916578970849514,-0.015212557278573513,0.7035531401634216
108257.036895732,6.890652656555176,36.597808837890625,-3.510833740234375,-0.018812287598848343,-0.014726852998137474,0.7038573622703552
108257.068500611,6.890193939208984,36.597721099853516,-3.4886474609375,-0.0173562690615654,-0.013105382211506367,0.7026993036270142
108257.100426117,6.88977575302124,36.597660064697266,-3.4664306640625,-0.016262132674455643,-0.012459215708076954,0.7021767497062683
108257.136973391,6.889349460601807,36.597625732421875,-3.44427490234375,-0.015381472185254097,-0.011627054773271084,0.701744556427002
108257.168929144,6.888826847076416,36.59758377075195,-3.416534423828125,-0.014728052541613579,-0.012395810335874557,0.702790379524231
108257.200980549,6.888557434082031,36.597557067871094,-3.39990234375,-0.013033431023359299,-0.012566668912768364,0.7022517323493958
108257.236732194,6.88814115524292,36.59748077392578,-3.3721923828125,-0.011972211301326752,-0.013136603869497776,0.7015659809112549
108257.268485079,6.8877949714660645,36.59743118286133,-3.35003662109375,-0.010915913619101048,-0.012435360811650753,0.7017412781715393
108257.301114989,6.887407302856445,36.5974235534668,-3.327850341796875,-0.010544833727180958,-0.011036676354706287,0.7020258903503418
108257.337226875,6.887005805969238,36.59740447998047,-3.3056640625,-0.010508468374609947,-0.011632371693849564,0.7019123435020447
108257.368587408,6.8864312171936035,36.59736251831055,-3.277923583984375,-0.010981895960867405,-0.010678064078092575,0.7014212012290955
108257.400844625,6.886026382446289,36.59739685058594,-3.26129150390625,-0.011024110019207,-0.010821012780070305,0.7032231688499451
108257.437037479,6.885356426239014,36.597408294677734,-3.233489990234375,-0.011599202640354633,-0.01089061051607132,0.7037579417228699
108257.468692673,6.884819984436035,36.597408294677734,-3.211212158203125,-0.012310288846492767,-0.011256140656769276,0.7042712569236755
108257.501322749,6.884261608123779,36.59739685058594,-3.188934326171875,-0.011931543238461018,-0.010443528182804585,0.7042083740234375
108257.537011329,6.883716583251953,36.59739685058594,-3.1666259765625,-0.011768363416194916,-0.009543048217892647,0.703583300113678
108257.568843739,6.883200645446777,36.59739685058594,-3.144287109375,-0.01145513541996479,-0.010240990668535233,0.703913688659668
108257.600945735,6.882744312286377,36.59737777709961,-3.121978759765625,-0.009682471863925457,-0.009620988741517067,0.7038339972496033
108257.636807368,6.882284164428711,36.59739685058594,-3.094085693359375,-0.008164068683981895,-0.008500821888446808,0.7046193480491638
108257.668908331,6.882042407989502,36.597354888916016,-3.071746826171875,-0.008072944357991219,-0.009167094714939594,0.7043750882148743
108257.701028542,6.881830215454102,36.597267150878906,-3.04937744140625,-0.007362049072980881,-0.008634041994810104,0.7042776346206665
108257.737204482,6.8816680908203125,36.59713363647461,-3.027008056640625,-0.006892768666148186,-0.009036240167915821,0.7039123177528381
108257.768459483,6.881518840789795,36.596981048583984,-3.004608154296875,-0.006136937066912651,-0.009000314399600029,0.7045069932937622
108257.801204832,6.881372928619385,36.59682846069336,-2.982177734375,-0.0052323415875434875,-0.0087549714371562,0.7046040892601013
108257.837016874,6.881155490875244,36.59661102294922,-2.954071044921875,-0.0049271355383098125,-0.008481266908347607,0.7057806849479675
108257.868478713,6.8809967041015625,36.59641647338867,-2.931549072265625,-0.004784897435456514,-0.008937175385653973,0.7064377069473267
108257.901203112,6.880840301513672,36.596168518066406,-2.908966064453125,-0.004243120085448027,-0.008766156621277332,0.7063392400741577
108257.936586359,6.880669593811035,36.59580612182617,-2.8807373046875,-0.003445415524765849,-0.008795000612735748,0.7062629461288452
108257.968484289,6.8805718421936035,36.595481872558594,-2.85809326171875,-0.0037436282727867365,-0.008847568184137344,0.7068278789520264
108258.001398236,6.880497932434082,36.595218658447266,-2.841094970703125,-0.0028599840588867664,-0.009287655353546143,0.7063045501708984
108258.036862977,6.880493640899658,36.59477996826172,-2.812744140625,-0.0022008074447512627,-0.008883477188646793,0.7063446044921875
108258.068766568,6.880520343780518,36.594425201416016,-2.790069580078125,-0.0008711689151823521,-0.009220891632139683,0.706484854221344
