idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
28,2.809364548494983,-1.9315773659074305,9.811677169552315,-2.809364548494983,-184.82327706465279,-36.385263446984375,30.000000000000004,0.0,0.0,0.0,101.1371237458194,70
29,2.9096989966555187,-2.545878360248632,9.670496542309383,-2.9096989966555187,-182.16384731231082,-47.956895994225626,30.000000000000004,0.0,0.0,0.0,104.74916387959867,70
30,3.0100334448160537,-3.1500646388994777,9.49089525654746,-3.0100334448160537,-178.7806848186902,-59.33799690572657,30.0,0.0,0.0,0.0,108.36120401337793,70
31,3.1103678929765888,-3.7417357837850203,9.273586864010209,-3.1103678929765888,-174.6872308099277,-70.48334933147594,30.0,0.0,0.0,0.0,111.97324414715719,70
32,3.210702341137124,-4.318541099166552,9.019434725902137,-3.210702341137124,-169.8997484838799,-81.34867304472975,30.0,0.0,0.0,0.0,115.58528428093645,70
33,3.311036789297659,-4.878188950901273,8.729448582774559,-3.311036789297659,-164.43725839681284,-91.89080036632453,30.0,0.0,0.0,0.0,119.19732441471572,70
34,3.411371237458194,-5.418455871051587,8.4047805428498,-3.411371237458194,-158.32146289517686,-102.06784766886695,30.0,0.0,0.0,0.0,122.80936454849497,70
35,3.511705685618729,-5.937195391671686,8.046720504721938,-3.511705685618729,-151.57665989268457,-111.8393817794135,30.000000000000004,0.0,0.0,0.0,126.42140468227424,70
36,3.6120401337792645,-6.432346572674897,7.656691032619608,-3.6120401337792645,-144.229646335262,-121.16658061952954,30.000000000000004,0.0,0.0,0.0,130.03344481605353,70
37,3.7123745819397995,-6.901942189900865,7.236241704591304,-3.7123745819397995,-136.3096117374088,-130.01238744450762,30.0,0.0,0.0,0.0,133.64548494983276,70
38,3.8127090301003346,-7.344116550851544,6.787042956067718,-3.8127090301003346,-127.84802221292829,-138.3416580689509,30.0,0.0,0.0,0.0,137.25752508361205,70
39,3.9130434782608696,-7.757112907044197,6.3108794432605295,-3.9130434782608696,-118.87849546078999,-146.1213004938116,30.0,0.0,0.0,0.0,140.86956521739128,70
40,4.013377926421405,-8.139290433532413,5.809642952764631,-4.013377926421405,-109.43666720279154,-153.3204063801334,29.999999999999932,0.0,0.0,0.0,144.48160535117057,70
