timestamp,north_m,east_m,down_m,vx_m_s,vy_m_s,vz_m_s
197926.442550666,-0.00803662370890379,-0.020379643887281418,0.021331787109375,-0.009898552671074867,0.01144580077379942,0.004691555164754391
197926.47433392,-0.007865460589528084,-0.020331772044301033,0.021392822265625,-0.009729827754199505,0.011595014482736588,0.004917344078421593
197926.510282544,-0.007676258683204651,-0.02028406783938408,0.02142333984375,-0.009842549450695515,0.01136484369635582,0.004883767105638981
197926.542380508,-0.007397662848234177,-0.02027576044201851,0.021453857421875,-0.009281973354518414,0.010945968329906464,0.004169432912021875
197926.574469209,-0.007140467409044504,-0.020252631977200508,0.021484375,-0.009420034475624561,0.011416848748922348,0.0038386157248169184
197926.613918692,-0.006837762892246246,-0.020179711282253265,0.021514892578125,-0.010092354379594326,0.011881382204592228,0.004359621088951826
197926.645727453,-0.006550178397446871,-0.020096711814403534,0.021514892578125,-0.010544432327151299,0.012162376195192337,0.003615073161199689
197926.678638358,-0.00631201546639204,-0.019995391368865967,0.021514892578125,-0.010593289509415627,0.012017774395644665,0.0034136397298425436
197926.714245511,-0.006062082946300507,-0.019881783053278923,0.021514892578125,-0.010331540368497372,0.011825771071016788,0.003774203360080719
197926.745857896,-0.005841028410941362,-0.01977584883570671,0.021514892578125,-0.010527346283197403,0.012345142662525177,0.004246357828378677
197926.778240439,-0.005624652840197086,-0.019626714289188385,0.021514892578125,-0.010555678978562355,0.012217524461448193,0.0032876194454729557
197926.813872127,-0.005466408561915159,-0.019530678167939186,0.021484375,-0.010133260861039162,0.011829294264316559,0.0023644189350306988
197926.846116933,-0.005277046002447605,-0.019416525959968567,0.021453857421875,-0.009173576720058918,0.01233820803463459,0.0019869518000632524
197926.878499183,-0.0050918180495500565,-0.019298860803246498,0.021392822265625,-0.008919922634959221,0.011824741028249264,0.002221329603344202
197926.914349667,-0.004869296681135893,-0.019161615520715714,0.02142333984375,-0.008767792955040932,0.011011754162609577,0.002834474667906761
197926.946004025,-0.004742975812405348,-0.01905945874750614,0.021392822265625,-0.008695456199347973,0.011768520809710026,0.0022468853276222944
197926.977901749,-0.004587114322930574,-0.018903153017163277,0.02142333984375,-0.0081014484167099,0.01162896491587162,0.0027359912637621164
197927.013679492,-0.004445080645382404,-0.018667221069335938,0.0213623046875,-0.008637812919914722,0.012495583854615688,0.0016089777927845716
197927.04590248,-0.004399136174470186,-0.018427202478051186,0.02130126953125,-0.008103231899440289,0.013095172122120857,0.0008508018217980862
197927.077773212,-0.004398502875119448,-0.018139608204364777,0.021209716796875,-0.008331984281539917,0.013301007449626923,0.0012036928674206138
197927.113644374,-0.004423022270202637,-0.01785355806350708,0.021148681640625,-0.008045300841331482,0.012678014114499092,0.0003979245957452804
197927.145895167,-0.004460836760699749,-0.01756265014410019,0.02105712890625,-0.0078102764673531055,0.013370862230658531,-0.0005933057400397956
197927.178168722,-0.004479275085031986,-0.017234647646546364,0.02093505859375,-0.007940249517560005,0.013974717818200588,-0.0011403097305446863
197927.213625888,-0.004469407256692648,-0.016776693984866142,0.02081298828125,-0.007260662503540516,0.014559011906385422,-0.001847229665145278
197927.28204109,-0.004426930099725723,-0.016392705962061882,0.020721435546875,-0.006722579710185528,0.015294897370040417,-0.0023903215769678354
197927.314243098,-0.004324454348534346,-0.01601332053542137,0.02056884765625,-0.0059611378237605095,0.01541233155876398,-0.0033175109419971704
197927.350509049,-0.004236861597746611,-0.01563144288957119,0.020416259765625,-0.00537424860522151,0.014906305819749832,-0.0031806642655283213
197927.382120311,-0.004153851885348558,-0.01523560844361782,0.020294189453125,-0.004693704191595316,0.015272678807377815,-0.003539459779858589
197927.414026683,-0.004018153063952923,-0.014748121611773968,0.020111083984375,-0.004159833770245314,0.01565588265657425,-0.0034241238608956337
197927.450046048,-0.003968633711338043,-0.014365533366799355,0.019989013671875,-0.004613487981259823,0.016048874706029892,-0.0032347338274121284
197927.481950169,-0.003975688945502043,-0.013952533714473248,0.0198974609375,-0.005218002945184708,0.01715019904077053,-0.0035015265457332134
197927.514311942,-0.004038012120872736,-0.013546482659876347,0.01971435546875,-0.0044019524939358234,0.01659891940653324,-0.0038922056555747986
197927.550478959,-0.004099678713828325,-0.013157827779650688,0.01953125,-0.00389289204031229,0.016675757244229317,-0.00395671371370554
197927.582240519,-0.0042012156918644905,-0.012773285619914532,0.019317626953125,-0.00403146306052804,0.017127402126789093,-0.0034650866873562336
197927.61389975,-0.004336537327617407,-0.01239408366382122,0.01910400390625,-0.005183574743568897,0.016891947016119957,-0.0023214290849864483
197927.650516962,-0.004502998664975166,-0.011963587254285812,0.01885986328125,-0.004645382985472679,0.015872139483690262,-0.0029674964025616646
197927.682167258,-0.004636676516383886,-0.011690105311572552,0.0186767578125,-0.004310736898332834,0.01596478745341301,-0.0036601070314645767
197927.713962148,-0.004736645612865686,-0.011493449099361897,0.01849365234375,-0.0042913067154586315,0.015602422878146172,-0.0032620574347674847
197927.750305302,-0.004829731769859791,-0.011314189992845058,0.018341064453125,-0.004129371140152216,0.01551032718271017,-0.0034453398548066616
197927.781841585,-0.004854493774473667,-0.01117943786084652,0.018218994140625,-0.0045057637616992,0.01602688431739807,-0.0028751797508448362
197927.81415446,-0.004873013589531183,-0.011051349341869354,0.018096923828125,-0.004402996506541967,0.016137516126036644,-0.003657297231256962
197927.850308229,-0.004885612986981869,-0.010873688384890556,0.01788330078125,-0.004301097709685564,0.01692695915699005,-0.004938056692481041
197927.882240716,-0.004880283959209919,-0.010741110891103745,0.01763916015625,-0.004357222001999617,0.016778096556663513,-0.005184459965676069
