timestamp,north_m,east_m,down_m,vx_m_s,vy_m_s,vz_m_s
102358.473407208,-0.005249754060059786,0.00820249319076538,-0.000579833984375,-0.016702987253665924,-0.016669005155563354,-0.006360865198075771
102358.504789937,-0.005123898386955261,0.008110213093459606,-0.00067138671875,-0.017280206084251404,-0.017006246373057365,-0.006808425299823284
102358.537765832,-0.005056583322584629,0.007980333641171455,-0.000762939453125,-0.01669536530971527,-0.01738434098660946,-0.006431578192859888
102358.573153227,-0.0048798806965351105,0.007877164520323277,-0.0008544921875,-0.01520927157253027,-0.01743384823203087,-0.00632182601839304
102358.605328678,-0.004738252144306898,0.007821440696716309,-0.000946044921875,-0.015753626823425293,-0.01717877760529518,-0.006086775567382574
102358.637944481,-0.00463803019374609,0.00774977495893836,-0.00103759765625,-0.014760349877178669,-0.017215993255376816,-0.006182693410664797
102358.673372237,-0.004508845042437315,0.0077079469338059425,-0.0010986328125,-0.014274354092776775,-0.017053158953785896,-0.006240914575755596
102358.705692477,-0.00435524620115757,0.007631647400557995,-0.001220703125,-0.013697526417672634,-0.0173159409314394,-0.00554403243586421
102358.73725542,-0.004281237255781889,0.007551944814622402,-0.00128173828125,-0.013403097167611122,-0.017822008579969406,-0.005149595905095339
102358.773728053,-0.004202178679406643,0.007374474313110113,-0.00140380859375,-0.014010883867740631,-0.01810690388083458,-0.005336014553904533
102358.804831649,-0.004193062428385019,0.007223928347229958,-0.00152587890625,-0.013978459872305393,-0.01809278316795826,-0.005742799490690231
102358.837941213,-0.004225568380206823,0.0070716203190386295,-0.001678466796875,-0.014061816036701202,-0.017227118834853172,-0.0065608033910393715
102358.874355303,-0.004249491263180971,0.006941520608961582,-0.001861572265625,-0.013688120990991592,-0.017494384199380875,-0.00715243024751544
102358.904760187,-0.004285294562578201,0.006773930974304676,-0.002044677734375,-0.013176141306757927,-0.01722468063235283,-0.007683998439460993
102358.938054588,-0.004360363818705082,0.006543089635670185,-0.002288818359375,-0.013782081194221973,-0.01604265160858631,-0.00853719562292099
102358.973944986,-0.004431747831404209,0.006379724480211735,-0.00244140625,-0.014039154164493084,-0.01560852862894535,-0.00858861580491066
102359.004931968,-0.004532621242105961,0.006193612702190876,-0.00262451171875,-0.014757388271391392,-0.01630893349647522,-0.009111534804105759
102359.038100376,-0.004624037072062492,0.005986419040709734,-0.00274658203125,-0.014655552804470062,-0.016639232635498047,-0.008471358567476273
102359.0733993,-0.004707150161266327,0.0057747079990804195,-0.002899169921875,-0.014694496989250183,-0.016487663611769676,-0.008189582265913486
102359.104878251,-0.004794184118509293,0.0055760713294148445,-0.003021240234375,-0.015137087553739548,-0.016067463904619217,-0.007999099791049957
102359.137709394,-0.004822928924113512,0.0054119788110256195,-0.00311279296875,-0.014775963500142097,-0.014976599253714085,-0.007292554713785648
102359.173259731,-0.004833385348320007,0.005293251480907202,-0.003204345703125,-0.014160627499222755,-0.014522768557071686,-0.006712476722896099
102359.205132996,-0.004813479259610176,0.005154842510819435,-0.0032958984375,-0.012968870811164379,-0.015211926773190498,-0.006327773444354534
102359.237455448,-0.004781877156347036,0.005027850158512592,-0.003387451171875,-0.011818362399935722,-0.015567502938210964,-0.006270247045904398
102359.273039386,-0.004741468466818333,0.004891104530543089,-0.003509521484375,-0.01123334001749754,-0.015226811170578003,-0.006813659332692623
102359.305321606,-0.004695411305874586,0.004788449499756098,-0.003662109375,-0.01127338781952858,-0.015915576368570328,-0.006554841995239258
102359.337215784,-0.004683311562985182,0.004707043524831533,-0.0037841796875,-0.011735936626791954,-0.015309356153011322,-0.006398673634976149
102359.373143195,-0.004698415286839008,0.0046271663159132,-0.00396728515625,-0.010673555545508862,-0.014997798018157482,-0.006254879757761955
102359.405273477,-0.004730939865112305,0.0046156421303749084,-0.004058837890625,-0.010974760167300701,-0.014959577471017838,-0.007070288993418217
102359.437249935,-0.004763902630656958,0.004631183110177517,-0.004150390625,-0.01111189741641283,-0.015234841965138912,-0.006187837105244398
102359.472793134,-0.004821696784347296,0.004612596705555916,-0.004241943359375,-0.011450868099927902,-0.015332010574638844,-0.007134034764021635
102359.504671789,-0.004847133532166481,0.004624951630830765,-0.004364013671875,-0.010678672231733799,-0.016227001324295998,-0.007245628163218498
102359.537750231,-0.004859129898250103,0.00459836982190609,-0.004486083984375,-0.01119249314069748,-0.017029881477355957,-0.007728883996605873
102359.573238776,-0.004870616365224123,0.004530128091573715,-0.00469970703125,-0.010883956216275692,-0.017581695690751076,-0.008213387802243233
102359.604605346,-0.004767656791955233,0.004481441807001829,-0.004852294921875,-0.010465512052178383,-0.017630163580179214,-0.007669095415621996
102359.636613815,-0.004674174357205629,0.00441323546692729,-0.004974365234375,-0.011290463618934155,-0.01865883730351925,-0.0077758594416081905
102359.672738536,-0.0045820376835763454,0.004300589207559824,-0.005096435546875,-0.010874808765947819,-0.01973770372569561,-0.007419438101351261
102359.704554292,-0.00444514537230134,0.004146989434957504,-0.005218505859375,-0.011691045947372913,-0.019605305045843124,-0.00764665799215436
102359.736831223,-0.00432399520650506,0.003992993384599686,-0.00531005859375,-0.011780756525695324,-0.019378114491701126,-0.007327207364141941
102359.77244501,-0.004160719458013773,0.003835319308564067,-0.00543212890625,-0.011292100884020329,-0.020391762256622314,-0.008067508228123188
102359.804353013,-0.004005806054919958,0.0037299401592463255,-0.005523681640625,-0.011276841163635254,-0.02055485174059868,-0.007653824053704739
102359.836483286,-0.0038527799770236015,0.0036278897896409035,-0.005584716796875,-0.010717672295868397,-0.020854275673627853,-0.006750528700649738
102359.87284374,-0.003668451216071844,0.003587419632822275,-0.005645751953125,-0.010102696716785431,-0.021176233887672424,-0.006355720106512308
102359.904991595,-0.0035106788855046034,0.0035352427512407303,-0.005706787109375,-0.01002503465861082,-0.02114575169980526,-0.006521391216665506
102359.936670411,-0.003378874622285366,0.0034926971420645714,-0.005767822265625,-0.010127502493560314,-0.02088724821805954,-0.007172457408159971
102359.972470891,-0.003245544619858265,0.0034854128025472164,-0.005859375,-0.011130384169518948,-0.02070770412683487,-0.007840456441044807
102360.004940194,-0.0031605279073119164,0.003463377710431814,-0.005950927734375,-0.010799779556691647,-0.021048471331596375,-0.006959670223295689
102360.037521412,-0.003064775839447975,0.0034399228170514107,-0.00604248046875,-0.010760792531073093,-0.019552016630768776,-0.007030182052403688
102360.072644484,-0.0029322609771043062,0.0034780383575707674,-0.006103515625,-0.01002038549631834,-0.020119670778512955,-0.006118630059063435
102360.104796737,-0.0028178729116916656,0.0034697854425758123,-0.00616455078125,-0.009689894504845142,-0.02029617503285408,-0.005567813757807016
102360.136835286,-0.0026689288206398487,0.003502290928736329,-0.006195068359375,-0.009591648355126381,-0.02009824849665165,-0.006049646995961666
102360.172955102,-0.0025042176712304354,0.003550564870238304,-0.006256103515625,-0.009613367728888988,-0.01995409093797207,-0.0062315985560417175
102360.204525931,-0.002404192928224802,0.003579904790967703,-0.00628662109375,-0.009169654920697212,-0.01961127296090126,-0.006236724555492401
102360.237305508,-0.0023128425236791372,0.0036352858878672123,-0.006317138671875,-0.009296289645135403,-0.020232507959008217,-0.005670646205544472
102360.272978692,-0.0022347571793943644,0.0037172839511185884,-0.006317138671875,-0.009298371151089668,-0.019487636163830757,-0.005064208526164293
102360.304609467,-0.0021851013880223036,0.003772416850551963,-0.00628662109375,-0.009960970841348171,-0.01920817606151104,-0.005739888641983271
102360.337117158,-0.0021255447063595057,0.0038423147052526474,-0.0062255859375,-0.010652133263647556,-0.018903259187936783,-0.005796004086732864
102360.372900914,-0.0020927307195961475,0.0038820328190922737,-0.00616455078125,-0.010355445556342602,-0.01913396641612053,-0.005532220471650362
102360.404780678,-0.0020677861757576466,0.003887246362864971,-0.006072998046875,-0.009524325840175152,-0.018422389402985573,-0.00529111921787262
102360.43729004,-0.0019727516919374466,0.003890106687322259,-0.005950927734375,-0.009183105081319809,-0.01889142394065857,-0.005039173644036055
102360.47294204,-0.0018553314730525017,0.003862782148644328,-0.005859375,-0.008949697017669678,-0.01876738667488098,-0.005626723635941744
102360.504946021,-0.001702754059806466,0.0038116846699267626,-0.005767822265625,-0.007845819927752018,-0.018724488094449043,-0.005942514631897211
102360.537598412,-0.0014735994627699256,0.0036990114022046328,-0.00567626953125,-0.0076871165074408054,-0.01981014385819435,-0.005731816403567791
102360.573589021,-0.001306398888118565,0.0035709356889128685,-0.005523681640625,-0.007905567064881325,-0.019748087972402573,-0.004948718473315239
102360.604959191,-0.0011779861524701118,0.003441861132159829,-0.00537109375,-0.008019779808819294,-0.01897471398115158,-0.004762481432408094
102360.637134717,-0.0010496808681637049,0.003352651372551918,-0.00518798828125,-0.0073534236289560795,-0.018266910687088966,-0.004915616009384394
102360.67679047,-0.0008966480381786823,0.0032462405506521463,-0.004913330078125,-0.006746268831193447,-0.01766267418861389,-0.004442245699465275
102360.769355582,-0.0008195338887162507,0.003192390315234661,-0.004730224609375,-0.007256200537085533,-0.017441293224692345,-0.004241765011101961
102360.805247892,-0.0007415808504447341,0.003149844706058502,-0.00445556640625,-0.007097036577761173,-0.017188984900712967,-0.0036674081347882748
102360.84107683,-0.0006621385691687465,0.0031412309035658836,-0.004119873046875,-0.007125988136976957,-0.017555072903633118,-0.003362281946465373
