idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode
16,2.1476510067114094,3.2653061224489797,3.2653061224489797,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
17,2.2818791946308723,3.4693877551020407,3.4693877551020407,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
18,2.4161073825503356,3.673469387755102,3.673469387755102,-5,1.5204081632653075,1.5204081632653075,0.0,0.0,0.0,0.0,0.0,70
19,2.5503355704697985,3.8775510204081636,3.8775510204081636,-5,1.520408163265306,1.520408163265306,0.0,0.0,0.0,0.0,0.0,70
20,2.684563758389262,4.081632653061225,4.081632653061225,-5,1.5204081632653041,1.5204081632653041,0.0,0.0,0.0,0.0,0.0,70
21,2.8187919463087248,4.285714285714286,4.285714285714286,-5,1.5204081632653075,1.5204081632653075,0.0,0.0,0.0,0.0,0.0,70
22,2.953020134228188,4.4897959183673475,4.4897959183673475,-5,1.5204081632653075,1.5204081632653075,0.0,0.0,0.0,0.0,0.0,70
23,3.087248322147651,4.6938775510204085,4.6938775510204085,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
24,3.221476510067114,4.8979591836734695,4.8979591836734695,-5,1.5204081632653041,1.5204081632653041,0.0,0.0,0.0,0.0,0.0,70
25,3.3557046979865772,5.1020408163265305,5.1020408163265305,-5,1.5204081632653041,1.5204081632653041,0.0,0.0,0.0,0.0,0.0,70
26,3.48993288590604,5.3061224489795915,5.3061224489795915,-5,1.5204081632653075,1.5204081632653075,0.0,0.0,0.0,0.0,0.0,70
27,3.6241610738255035,5.510204081632653,5.510204081632653,-5,1.5204081632653075,1.5204081632653075,0.0,0.0,0.0,0.0,0.0,70
28,3.7583892617449663,5.714285714285714,5.714285714285714,-5,1.5204081632653041,1.5204081632653041,0.0,0.0,0.0,0.0,0.0,70
29,3.8926174496644297,5.918367346938775,5.918367346938775,-5,1.520408163265305,1.520408163265305,0.0,0.0,0.0,0.0,0.0,70
30,4.026845637583893,6.122448979591837,6.122448979591837,-5,1.52040816326531,1.52040816326531,0.0,0.0,0.0,0.0,0.0,70
31,4.1610738255033555,6.326530612244898,6.326530612244898,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
32,4.295302013422819,6.530612244897959,6.530612244897959,-5,1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
33,4.429530201342282,6.73469387755102,6.73469387755102,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
34,4.563758389261745,6.938775510204081,6.938775510204081,-5,1.52040816326531,1.52040816326531,0.0,0.0,0.0,0.0,0.0,70
35,4.697986577181208,7.142857142857143,7.142857142857143,-5,1.520408163265305,1.520408163265305,0.0,0.0,0.0,0.0,0.0,70
36,4.832214765100671,7.346938775510204,7.346938775510204,-5,1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
37,4.966442953020135,7.551020408163265,7.551020408163265,-5,1.52040816326531,1.52040816326531,0.0,0.0,0.0,0.0,0.0,70
38,5.100671140939597,7.755102040816327,7.755102040816327,-5,1.52040816326531,1.52040816326531,0.0,0.0,0.0,0.0,0.0,70
39,5.23489932885906,7.959183673469388,7.959183673469388,-5,1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
40,5.369127516778524,8.16326530612245,8.16326530612245,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
41,5.503355704697986,8.36734693877551,8.36734693877551,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
42,5.6375838926174495,8.571428571428571,8.571428571428571,-5,1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
43,5.771812080536913,8.775510204081632,8.775510204081632,-5,1.5204081632653084,1.5204081632653084,0.0,0.0,0.0,0.0,0.0,70
44,5.906040268456376,8.979591836734695,8.979591836734695,-5,1.5204081632653133,1.5204081632653133,0.0,0.0,0.0,0.0,0.0,70
45,6.040268456375839,9.183673469387756,9.183673469387756,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
46,6.174496644295302,9.387755102040817,9.387755102040817,-5,1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
47,6.308724832214765,9.591836734693878,9.591836734693878,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
48,6.442953020134228,9.795918367346939,9.795918367346939,-5,1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
49,6.577181208053691,10.0,10.0,-5,0.7602040816326509,0.7602040816326509,0.0,0.0,0.0,0.0,0.0,70
50,6.7114093959731544,10.0,10.0,-5,-0.7602040816326509,0.7602040816326509,0.0,0.0,0.0,0.0,0.0,70
51,6.845637583892618,9.795918367346939,10.204081632653061,-5,-1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
52,6.97986577181208,9.591836734693878,10.408163265306122,-5,-1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
53,7.114093959731544,9.387755102040817,10.612244897959183,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
54,7.248322147651007,9.183673469387756,10.816326530612244,-5,-1.5204081632653084,1.5204081632653084,0.0,0.0,0.0,0.0,0.0,70
55,7.38255033557047,8.979591836734693,11.020408163265307,-5,-1.5204081632653133,1.5204081632653133,0.0,0.0,0.0,0.0,0.0,70
56,7.516778523489933,8.775510204081632,11.224489795918368,-5,-1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
57,7.651006711409396,8.571428571428571,11.428571428571429,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
58,7.785234899328859,8.36734693877551,11.63265306122449,-5,-1.5204081632653066,1.5204081632653066,0.0,0.0,0.0,0.0,0.0,70
59,7.919463087248322,8.16326530612245,11.83673469387755,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
60,8.053691275167786,7.959183673469388,12.040816326530612,-5,-1.52040816326531,1.5204081632653133,0.0,0.0,0.0,0.0,0.0,70
61,8.187919463087248,7.755102040816326,12.244897959183675,-5,-1.520408163265315,1.5204081632653184,0.0,0.0,0.0,0.0,0.0,70
62,8.322147651006711,7.551020408163265,12.448979591836736,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
63,8.456375838926174,7.346938775510204,12.653061224489797,-5,-1.520408163265305,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
64,8.590604026845638,7.142857142857142,12.857142857142858,-5,-1.520408163265305,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
65,8.724832214765101,6.938775510204081,13.061224489795919,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
66,8.859060402684564,6.73469387755102,13.26530612244898,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
67,8.993288590604028,6.530612244897959,13.46938775510204,-5,-1.5204081632653117,1.5204081632653117,0.0,0.0,0.0,0.0,0.0,70
68,9.12751677852349,6.326530612244898,13.673469387755102,-5,-1.520408163265315,1.5204081632653117,0.0,0.0,0.0,0.0,0.0,70
69,9.261744966442953,6.122448979591836,13.877551020408163,-5,-1.520408163265305,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
70,9.395973154362416,5.918367346938775,14.081632653061224,-5,-1.5204081632653017,1.5204081632653017,0.0,0.0,0.0,0.0,0.0,70
71,9.53020134228188,5.714285714285714,14.285714285714285,-5,-1.520408163265305,1.5204081632653084,0.0,0.0,0.0,0.0,0.0,70
